role_code,display_name,actor_type,category,institution,level,description,permissions,permissions_count
acteur,Acteur,USAGER,Acteurs terrain,Acteur de la filière,communautaire,"Opérateur terrain (déclarations, transactions).",,0
admin,Admin,OPERATEUR_PRIVE,Administration,Administrateur plateforme,central,"Accès complet à la plateforme (configuration, rôles, territoires, etc.).",admin_commune;admin_filiere_bois;admin_filiere_mines;admin_filiere_or;audit_logs;dashboard_national;dashboard_regional;lecture_seule;pilotage_kpi;supervision_recettes;supervision_territoriale,11
analyse_certification,Analyse Certification,TRANSVERSAL,Administration,Entite d'analyse et certification,central,"Titrage, poinconnage officiel et certification qualite/quantite des lots.",analyse_certification;controle_export,2
artec,Artec,TRANSVERSAL,Administration,Autorité de Régulation des Technologies de Communication,regulation,Cadre passerelles USSD / codes courts (si USSD).,,0
banque_centrale,Banque Centrale,TRANSVERSAL,Administration,Banque centrale,central,Validation du rapatriement de devises sur export.,rapatriement_devises,1
banque_commerciale,Banque Commerciale,TRANSVERSAL,Administration,Banque commerciale,central,Transmission des preuves bancaires de rapatriement.,rapatriement_devises,1
bcmm,Bcmm,TRANSVERSAL,Administration,Bureau du Cadastre Minier de Madagascar,central,Cadastre/titres miniers : référentiel des permis et zones.,fournisseur_donnees;lecture_seule,2
bfm,Bfm,TRANSVERSAL,Administration,Banque Centrale de Madagascar (Banky Foiben'i Madagasikara),central,Suivi rapatriement des devises; conformité changes; réserves.,lecture_seule;rapatriement_devises,2
bianco,Bianco,TRANSVERSAL,Administration,BIANCO (Anti-corruption),controle,Lutte anticorruption; exploitation des traces/audits en cas d'enquête.,audit_logs,1
bijoutier,Bijoutier,USAGER,Acteurs terrain,Bijouterie,central,"Operateur bijoutier: registre entrees/sorties, gestion laissez-passer et ventes locales.",card_collector_manage;registre_bijoutier,2
bois_admin_central,Bois Admin Central,TRANSVERSAL,BOIS,Admin central BOIS,central,Parametrage essences/regles/checklists et supervision nationale.,audit_logs;bois_catalog_admin;bois_control;bois_export,4
bois_artisan,Bois Artisan,USAGER,BOIS,Artisan bois,communautaire,Fabrication produits finis et ventes autorisees.,bois_trade;bois_transform,2
bois_collecteur,Bois Collecteur,USAGER,BOIS,Collecteur bois,communautaire,"Achat local, regroupement et vente de lots bois.",bois_declare_lot;bois_trade,2
bois_commune_agent,Bois Commune Agent,AGENT_ETAT,BOIS,Commune BOIS,territorial,Enrolement local et suivi frais communaux BOIS.,admin_commune;bois_declare_lot,2
bois_controleur,Bois Controleur,AGENT_ETAT,BOIS,Controleur BOIS,controle,"Controle routier, PV et sanctions metier BOIS.",bois_control;profil_controleur,2
bois_douanes,Bois Douanes,AGENT_ETAT,BOIS,Douanes BOIS,controle,"Controle export BOIS, scelles et statut exporte.",bois_control;bois_export;controle_export,3
bois_exploitant,Bois Exploitant,USAGER,BOIS,Exploitant forestier,communautaire,Declaration lots BOIS et cession vers acteurs autorises.,bois_declare_lot;bois_trade,2
bois_exportateur,Bois Exportateur,USAGER,BOIS,Exportateur bois,central,Montage des dossiers export BOIS et transferts finaux.,bois_export;bois_trade;controle_export,3
bois_forest_admin,Bois Forest Admin,TRANSVERSAL,BOIS,Administration forestiere,central,"Validation permis, laissez-passer et suivi conformite.",admin_filiere_bois;bois_control;bois_transport,3
bois_transformateur,Bois Transformateur,TRANSVERSAL,BOIS,Scieur/Atelier,central,Transformation grumes vers lots scies et produits.,bois_trade;bois_transform,2
bois_transporteur,Bois Transporteur,USAGER,BOIS,Transporteur bois,central,Transport national avec laissez-passer et scan QR.,bois_transport;lecture_seule,2
centre_test,Centre Test,TRANSVERSAL,Administration,Centre agree de test/pesee,central,"Pesee, test purete et emission de certificat numerique lot.",controle_export,1
collecteur,Collecteur,USAGER,Acteurs terrain,Collecteur,communautaire,"Acheteur intermediaire, consolidation lots et vente au comptoir.",card_collector_manage,1
com,Com,OPERATEUR_PRIVE,Export et regulation,Centrale de l'Or de Madagascar,central,"Chaîne légale de l'or : enregistrement collecteurs, agrément comptoirs, validations avant export.",admin_filiere_or;card_validate_com;com_instruction_dossiers;com_parametrage_national;controle_export;odv_dtspm,6
com_admin,Com Admin,OPERATEUR_PRIVE,Export et regulation,Centrale de l'Or de Madagascar,central,"Parametrage national OR, supervision et sanctions metier COM.",admin_filiere_or;audit_logs;card_validate_com;com_instruction_dossiers;com_parametrage_national;com_sanctions_metier;com_suivi_affiliations;com_validation_collecteur;controle_export,9
com_agent,Com Agent,OPERATEUR_PRIVE,Export et regulation,Centrale de l'Or de Madagascar,central,Instruction dossiers OR et validation cartes collecteurs.,card_validate_com;com_instruction_dossiers;com_suivi_affiliations;com_validation_collecteur;controle_export,5
commune,Commune,AGENT_ETAT,Territorial,Commune (Maire / Administration communale),territorial,"Role legacy commune, conserve pour retro-compatibilite RBAC/API/UI.",admin_commune;card_collector_manage;card_kara_manage;card_validate_commune,4
commune_agent,Commune Agent,AGENT_ETAT,Territorial,Commune (Maire / Administration communale),territorial,Recensement de proximité; validation initiale; gestion comptes Mobile Money communaux; suivi recettes.,admin_commune;card_collector_manage;card_kara_manage;card_validate_commune,4
comptoir_compliance,Comptoir Compliance,OPERATEUR_PRIVE,Export et regulation,Comptoir,central,Responsable conformite comptoir: controles documentaires et tracabilite.,audit_logs;controle_export,2
comptoir_director,Comptoir Director,OPERATEUR_PRIVE,Export et regulation,Comptoir,central,Directeur comptoir: validation finale et supervision.,audit_logs;controle_export;dashboard_national,3
comptoir_operator,Comptoir Operator,OPERATEUR_PRIVE,Export et regulation,Comptoir,central,"Operateur comptoir: reception lots, preparation dossier export.",controle_export,1
